<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
EURUSD;D;20231002;0;1.0479500
EURUSD;D;20231003;0;1.0468600
EURUSD;D;20231004;0;1.0506600
EURUSD;D;20231005;0;1.0546300
EURUSD;D;20231006;0;1.0585700
EURUSD;D;20231008;0;1.0565700
EURUSD;D;20231009;0;1.0578200
EURUSD;D;20231010;0;1.0604300
EURUSD;D;20231011;0;1.0623000
EURUSD;D;20231012;0;1.0535300
EURUSD;D;20231013;0;1.0504300
EURUSD;D;20231015;0;1.0521300
EURUSD;D;20231016;0;1.0554300
EURUSD;D;20231017;0;1.0572400
EURUSD;D;20231018;0;1.0537900
EURUSD;D;20231019;0;1.0586000
EURUSD;D;20231020;0;1.0592400
EURUSD;D;20231022;0;1.0589500
EURUSD;D;20231023;0;1.0669900
EURUSD;D;20231024;0;1.0594200
EURUSD;D;20231025;0;1.0565500
EURUSD;D;20231026;0;1.0563500
EURUSD;D;20231027;0;1.0560500
EURUSD;D;20231029;0;1.0561600
EURUSD;D;20231030;0;1.0613100
EURUSD;D;20231031;0;1.0578000
EURUSD;D;20231101;0;1.0586600
EURUSD;D;20231102;0;1.0615300
EURUSD;D;20231103;0;1.0730000
EURUSD;D;20231105;0;1.0731100
EURUSD;D;20231106;0;1.0717900
EURUSD;D;20231107;0;1.0695600
EURUSD;D;20231108;0;1.0711000
EURUSD;D;20231109;0;1.0666700
EURUSD;D;20231110;0;1.0684000
EURUSD;D;20231112;0;1.0690300
EURUSD;D;20231113;0;1.0700600
EURUSD;D;20231114;0;1.0877700
EURUSD;D;20231115;0;1.0853400
EURUSD;D;20231116;0;1.0853100
EURUSD;D;20231117;0;1.0911200
EURUSD;D;20231119;0;1.0905600
EURUSD;D;20231120;0;1.0944300
EURUSD;D;20231121;0;1.0916500
EURUSD;D;20231122;0;1.0887100
EURUSD;D;20231123;0;1.0903800
EURUSD;D;20231124;0;1.0936700
EURUSD;D;20231126;0;1.0939300
EURUSD;D;20231127;0;1.0958300
EURUSD;D;20231128;0;1.1003200
EURUSD;D;20231129;0;1.0973200
EURUSD;D;20231130;0;1.0891400
EURUSD;D;20231201;0;1.0881800
EURUSD;D;20231203;0;1.0885400
EURUSD;D;20231204;0;1.0837000
EURUSD;D;20231205;0;1.0793000
EURUSD;D;20231206;0;1.0765700
EURUSD;D;20231207;0;1.0789200
EURUSD;D;20231208;0;1.0760800
EURUSD;D;20231210;0;1.0764700
EURUSD;D;20231211;0;1.0765200
EURUSD;D;20231212;0;1.0797400
EURUSD;D;20231213;0;1.0882600
EURUSD;D;20231214;0;1.0993400
EURUSD;D;20231215;0;1.0892200
EURUSD;D;20231217;0;1.0894500
EURUSD;D;20231218;0;1.0923500
EURUSD;D;20231219;0;1.0978600
EURUSD;D;20231220;0;1.0943000
EURUSD;D;20231221;0;1.1004800
EURUSD;D;20231222;0;1.1011800
EURUSD;D;20231224;0;1.1011800
